description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id,neg_log10_p,gene_ratio
Endometrial cancer,8716,39218,10,"[['KEGG'], [], [], [], [], [], ['KEGG'], ['KEGG'], ['KEGG'], [], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], [], ['KEGG'], []]",Endometrial cancer,KEGG:05213,2.5291385972023393e-16,['KEGG:00000'],0.5555555555555556,query_1,18,0.1694915254237288,True,KEGG,59,480,31,15.597027370595933,0.5555555555555556
Central carbon metabolism in cancer,8716,39232,10,"[[], [], [], [], [], [], ['KEGG'], ['KEGG'], [], [], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]",Central carbon metabolism in cancer,KEGG:05230,1.840067527154153e-15,['KEGG:00000'],0.5555555555555556,query_1,18,0.14084507042253522,True,KEGG,71,494,32,14.735166238875081,0.5555555555555556
Pathways in cancer,8716,39207,14,"[['KEGG'], ['KEGG'], [], ['KEGG'], [], [], ['KEGG'], ['KEGG'], ['KEGG'], [], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]",Pathways in cancer,KEGG:05200,1.3011928388594764e-12,['KEGG:00000'],0.7777777777777778,query_1,18,0.026415094339622643,True,KEGG,530,469,33,11.885658335531877,0.7777777777777778
Colorectal cancer,8716,39215,9,"[['KEGG'], ['KEGG'], [], ['KEGG'], [], [], ['KEGG'], ['KEGG'], [], [], ['KEGG'], [], ['KEGG'], ['KEGG'], [], [], ['KEGG'], []]",Colorectal cancer,KEGG:05210,1.934962376652292e-12,['KEGG:00000'],0.5,query_1,18,0.10344827586206896,True,KEGG,87,477,34,11.713327474971248,0.5
Gastric cancer,8716,39231,10,"[['KEGG'], [], [], [], [], [], ['KEGG'], ['KEGG'], ['KEGG'], [], ['KEGG'], [], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], []]",Gastric cancer,KEGG:05226,4.36014477089201e-12,['KEGG:00000'],0.5555555555555556,query_1,18,0.06666666666666667,True,KEGG,150,493,35,11.36049909051221,0.5555555555555556
Melanoma,8716,39223,8,"[[], [], [], [], [], [], ['KEGG'], ['KEGG'], ['KEGG'], [], ['KEGG'], ['KEGG'], ['KEGG'], [], [], ['KEGG'], ['KEGG'], []]",Melanoma,KEGG:05218,4.4436700526226054e-11,['KEGG:00000'],0.4444444444444444,query_1,18,0.1095890410958904,True,KEGG,73,485,36,10.352258195375875,0.4444444444444444
"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]",20972,14479,15,"[['IEA'], ['ISS', 'IEA'], [], ['ISS', 'IEA'], ['IDA'], ['IMP'], ['IDA', 'IMP', 'IGI', 'ISS', 'TAS', 'IEA'], ['IEA'], [], [], ['IMP', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IMP', 'ISS', 'TAS', 'NAS', 'IEA'], ['IDA', 'ISS', 'TAS'], ['IBA'], ['IMP'], ['IMP', 'IBA'], ['IEA']]",programmed cell death,GO:0012501,5.668685380525243e-11,['GO:0008219'],0.8823529411764706,query_1,17,0.007660878447395302,True,GO:BP,1958,4356,19,10.246517646253604,0.8823529411764706
"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]",20972,13129,15,"[['IEA'], ['ISS', 'IEA'], [], ['ISS', 'IEA'], ['IDA'], ['IMP'], ['IDA', 'IMP', 'IGI', 'ISS', 'TAS', 'IEA'], ['IEA'], [], [], ['IMP', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IMP', 'ISS', 'TAS', 'NAS', 'IEA'], ['IDA', 'ISS', 'TAS'], ['IBA'], ['IMP'], ['IMP', 'IBA'], ['IEA']]",cell death,GO:0008219,5.843252241096458e-11,['GO:0009987'],0.8823529411764706,query_1,17,0.00764525993883792,True,GO:BP,1962,3006,19,10.233345365691818,0.8823529411764706
Breast cancer,8716,39229,9,"[[], [], [], [], [], [], ['KEGG'], ['KEGG'], [], [], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], [], ['KEGG'], ['KEGG']]",Breast cancer,KEGG:05224,2.6096638402584284e-10,['KEGG:00000'],0.5,query_1,18,0.060810810810810814,True,KEGG,148,491,37,9.583415432019299,0.5
"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",20972,22129,15,"[['IEA'], [], ['IEA'], ['IEA'], ['IDA'], ['IMP', 'IBA'], ['IMP', 'ISS'], ['IEA'], [], [], ['IGI', 'TAS', 'NAS'], ['IMP', 'ISS'], ['IDA', 'IEA'], ['IDA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IMP'], ['IDA', 'IMP', 'IBA'], ['IMP', 'IBA', 'TAS', 'IEA']]",positive regulation of response to stimulus,GO:0048584,7.026290134717977e-10,"['GO:0048518', 'GO:0048583', 'GO:0050896']",0.8823529411764706,query_1,17,0.00646551724137931,True,GO:BP,2320,12006,19,9.153273920967923,0.8823529411764706
